nom,theme,reseau,type,visites,visitesfrance,pagevues
118000.fr,Services,Site Internet,Site grand public,7783324,7399084,13907222
20minutes.fr,Actu / Informations,Site Internet,Site grand public,19804246,17423970,79177364
Allrecipes.fr,Actu / Informations,Site Internet,Site grand public,553866,425618,1497872
Arte.tv,Actu / Informations,Site Internet,Site grand public,8929011,3452427,31106667
Atelier.net,Services,Site Internet,Site grand public,63918,49455,105263
Autojournal.fr,Actu / Informations,Site Internet,Site grand public,414906,346796,1044266
Autoplus.fr,Actu / Informations,Site Internet,Site grand public,4958343,4634363,13977615
Brochuresenligne.com,Services,Site Internet,Site grand public,126289,117316,347951
Cadremploi.fr,Annonces,Site Internet,Site grand public,3869494,3350668,21370126
Caisse-epargne.fr,Services,Site Internet,Site grand public,38577030,37684238,237669272
Canalplus.fr,Actu / Informations,Site Internet,Site grand public,30009302,23233783,104069219
Capifrance.fr,Annonces,Site Internet,Site grand public,369696,325782,1740578
Capital.fr,Actu / Informations,Site Internet,Site grand public,2183902,1912384,8579740
Cesoirtv.com,Services,Site Internet,Site grand public,833131,796834,2790675
Challenges.fr,Actu / Informations,Site Internet,Site grand public,2688853,2337385,10965051
Charentelibre.fr,Actu / Informations,Site Internet,Site grand public,1530666,1460380,6357588
Clicanoo.re,Actu / Informations,Site Internet,Site grand public,1708243,1632714,10388715
Climamaison.com,Actu / Informations,Site Internet,Site grand public,102320,90319,189255
Closermag.fr,Actu / Informations,Site Internet,Site grand public,1408048,1227871,5087373
Connaissancedesarts.com,Actu / Informations,Site Internet,Site grand public,75876,62527,176796
Courrier-picard.fr,Actu / Informations,Site Internet,Site grand public,795182,757257,2350079
Courrierinternational.com,Actu / Informations,Site Internet,Site grand public,1718692,1123823,5762938
Dna.fr,Actu / Informations,Site Internet,Site grand public,1682390,1544525,5962445
Doctissimo.fr,Portail / Communautaire,Site Internet,Site grand public,40545354,32038483,159340805
Dordognelibre.fr,Actu / Informations,Site Internet,Site grand public,76173,73997,201875
Elle.fr,Actu / Informations,Site Internet,Site grand public,4717597,3760166,32545273
Europe1.fr,Actu / Informations,Site Internet,Site grand public,7819434,6779438,28339893
Evene.fr,Actu / Informations,Site Internet,Site grand public,5721349,4306314,16265857
Explorimmo.com,Annonces,Site Internet,Site grand public,2919848,2603677,25200512
Femina.fr,Actu / Informations,Site Internet,Site grand public,640133,515342,3733532
Femmeactuelle.fr,Actu / Informations,Site Internet,Site grand public,2820138,2419510,13216573
Franceculture.fr,Actu / Informations,Site Internet,Site grand public,2386219,1870016,8610810
franceinfo.fr,Actu / Informations,Site Internet,Site grand public,2724301,2125314,5784135
Franceinter.fr,Actu / Informations,Site Internet,Site grand public,4424226,3662408,13945950
Gala.fr,Actu / Informations,Site Internet,Site grand public,3528708,3061560,13082150
Geo.fr,Actu / Informations,Site Internet,Site grand public,654595,560488,5337447
Grazia.fr,Actu / Informations,Site Internet,Site grand public,629386,512465,4407897
Huffingtonpost.fr,Actu / Informations,Site Internet,Site grand public,5644597,4528829,11258893
Infobebes.com,Actu / Informations,Site Internet,Site grand public,1841648,1550638,7480115
Investir.fr,Actu / Informations,Site Internet,Site grand public,1888049,1671374,17395122
Itele.fr,Actu / Informations,Site Internet,Site grand public,1071981,773817,2331641
Jeuxvideo.com,Actu / Informations,Site Internet,Site grand public,49772942,40721416,558748906
Kelformation.com,Annonces,Site Internet,Site grand public,824103,688921,2644410
Keljob.com,Annonces,Site Internet,Site grand public,1901623,1618505,9602037
La-croix.com,Actu / Informations,Site Internet,Site grand public,1429031,1169488,3316086
Lachainemeteo.fr,Services,Site Internet,Site grand public,28873067,25629000,117586765
Ladepeche.fr,Actu / Informations,Site Internet,Site grand public,9831577,9208820,43306926
Ladocumentationfrancaise.fr,Services,Site Internet,Site grand public,447374,370326,1169329
Lalsace.fr,Actu / Informations,Site Internet,Site grand public,1164094,1056804,4024818
Lamanchelibre.com,Actu / Informations,Site Internet,Site grand public,16821,16553,215942
Lamanchelibre.fr,Actu / Informations,Site Internet,Site grand public,133326,121607,441312
Lamontagne.fr,Actu / Informations,Site Internet,Site grand public,950679,899574,4122871
lanouvellerepublique.fr,Actu / Informations,Site Internet,Site grand public,2575737,2481693,19062090
Laprovence.com,Actu / Informations,Site Internet,Site grand public,4066185,3808822,17574599
Larep.fr,Actu / Informations,Site Internet,Site grand public,97443,92422,461735
Larepubliquedespyrenees.fr,Actu / Informations,Site Internet,Site grand public,877992,837766,3574107
Latribune.fr,Actu / Informations,Site Internet,Site grand public,3501342,2982443,17176323
Lavoixdunord.fr,Actu / Informations,Site Internet,Site grand public,4792623,4531062,15579674
Lavoixemploi.com,Actu / Informations,Site Internet,Site grand public,123431,113261,537918
Lavoiximmo.com,Annonces,Site Internet,Site grand public,108648,104075,847220
Leberry.fr,Actu / Informations,Site Internet,Site grand public,287932,277364,1218005
Leboncoin.fr,Annonces,Site Internet,Site grand public,215132373,208801233,6170512107
Ledauphine.com,Actu / Informations,Site Internet,Site grand public,3949508,3706237,19524417
Lefigaro.fr,Actu / Informations,Site Internet,Site grand public,46482819,36314950,201622925
Legifrance.gouv.fr,Actu / Informations,Site Internet,Site grand public,6991616,6664211,48604965
Lejdc.fr,Actu / Informations,Site Internet,Site grand public,201007,191938,970094
LeJDD.fr,Actu / Informations,Site Internet,Site grand public,2200648,1877376,6927499
Lemonde.fr,Actu / Informations,Site Internet,Site grand public,59079248,44447745,200198144
Leparisien.fr,Actu / Informations,Site Internet,Site grand public,30815154,27176210,115159503
Lepays.fr,Actu / Informations,Site Internet,Site grand public,448533,414904,1771239
Lepoint.fr,Actu / Informations,Site Internet,Site grand public,14200262,11459768,39503688
Lepopulaire.fr,Actu / Informations,Site Internet,Site grand public,307818,292145,1175309
